Movie,Rating
Titanic,7.8
E.T. The Extra-Terrestrial,7.9
The Wizard Of Oz,8.0
Star Wars: Episode IV - A New Hope,8.6
The Lord of the Rings: The Return of the King,8.9
Snow White and the Seven Dwarfs,7.6
Terminator 2: Judgement Day,8.5
The Lion King,8.5
The Godfather,9.2
The Jesus Film,7.1
Jurassic Park,8.1
Raiders of the Lost Ark,8.5
Harry Potter and the Sorcerer's Stone,7.6
The Shawshank Redemption,9.3
Schindler's List,8.9
The Dark Knight,9.0
Pirates of the Caribbean: The Curse of the Black Pearl,8.0
Jaws,8.0
Fight Club,8.8
Pulp Fiction,8.9
